INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
100732;2023120111;-29;-2,9;76;
100733;2023120110;-26;-2,6;77;
100734;2023120109;-48;-4,8;84;
100735;2023120108;-60;-6,0;85;
100736;2023120107;-50;-5,0;87;
100737;2023120106;-58;-5,8;86;
100738;2023120105;-67;-6,7;81;
100739;2023120104;-73;-7,3;79;
100740;2023120103;-66;-6,6;82;
100741;2023120102;-51;-5,1;82;
100742;2023120101;-46;-4,6;81;
100743;2023120100;-42;-4,2;83;
100744;2023113023;-57;-5,7;85;
100745;2023113022;-64;-6,4;84;
100746;2023113021;-62;-6,2;81;
100747;2023113020;-50;-5,0;84;
100748;2023113019;-49;-4,9;81;
100749;2023113018;-35;-3,5;81;
100750;2023113017;-46;-4,6;80;
100751;2023113016;-44;-4,4;79;
100752;2023113015;-18;-1,8;73;
100753;2023113014;-6;-0,6;71;
100754;2023113013;3;0,3;66;
100755;2023113012;-9;-0,9;66;
100756;2023113011;5;0,5;71;
100757;2023113010;-14;-1,4;72;
100758;2023113009;-23;-2,3;85;
100759;2023113008;-42;-4,2;90;
100760;2023113007;-33;-3,3;86;
100761;2023113006;-33;-3,3;88;
100762;2023113005;-35;-3,5;89;
100763;2023113004;-37;-3,7;86;
100764;2023113003;-29;-2,9;85;
100765;2023113002;-17;-1,7;84;
100766;2023113001;-11;-1,1;79;
100767;2023113000;-4;-0,4;79;
100768;2023112923;2;0,2;80;
100769;2023112922;5;0,5;87;
100770;2023112921;7;0,7;87;
100771;2023112920;6;0,6;92;
100772;2023112919;9;0,9;87;
100773;2023112918;8;0,8;89;
100774;2023112917;6;0,6;90;
100775;2023112916;0;0,0;92;
100776;2023112915;-3;-0,3;91;
100777;2023112914;-4;-0,4;90;
100778;2023112913;-5;-0,5;89;
100779;2023112912;-2;-0,2;86;
100780;2023112911;-6;-0,6;87;
100781;2023112910;-13;-1,3;83;
100782;2023112909;-19;-1,9;86;
100783;2023112908;-22;-2,2;85;
100784;2023112907;-24;-2,4;83;
100785;2023112906;-24;-2,4;82;
100786;2023112905;-32;-3,2;82;
100787;2023112904;-32;-3,2;83;
